Job Title,Company,Job Link,Extracted Text,index
Trainee - International Marketing Qualitea Ceylon (Pvt) Ltd,Qualitea Ceylon (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231127&pg=index.jsp,"Job Requirements: The company is looking for enthusiastic individuals to start their career in Sales & Marketing. Selected candidates will receive training and opportunities for career growth. Applicants must be located in close proximity to Wottaliy Gandia.
Responsibilities: The Trainee - International Marketing will be responsible for assisting with sales and marketing activities, learning about the company's products and services, and contributing to the overall success of the marketing team.",0
IT Infrastructure ManagerColombo International Container Terminals Limited,Colombo International Container Terminals Limited,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231135&pg=index.jsp,"The job vacancy is for an IT Infrastructure Manager at Colombo International Container Terminals. The responsibilities include overseeing IT infrastructure operations, managing network security, and implementing new technologies. The requirements include a degree in IT or related field, experience in IT management, and knowledge of network protocols. Contact details are not provided.",1
Call Center AssistantsSLTC,SLTC,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231131&pg=index.jsp,"The job vacancy is for Call Center Assistants in the Department of Applied IT. The role includes managing inbound and outbound calls, resolving customer inquiries and issues, and maintaining detailed records. The job requirements include excellent communication skills, problem-solving abilities, and at least one year of experience in a call center or customer service role. If interested, contact the company for more information.",2
Warehouse Executive / Supervisor Asian Group of Companies (Pvt) Ltd,Asian Group of Companies (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231126&pg=index.jsp,"The job vacancy is for a Warehouse Executive/Supervisor with the following requirements: Certificate or Diploma in Inventory Management, Supply Chain Management, or Store Keeping, minimum 3 years of experience in a similar capacity, proficiency in MS Office packages especially MS Excel, exposure to computerized warehouse management applications, and experience in ERP systems is an advantage. Candidates from Colombo & suburbs are preferred. The successful candidate will be offered a competitive remuneration package based on qualifications and work experience. Interested candidates should send their CV with contact details of two referees to careers@agc.lk within 14 days.",3
Receptionist / Customer Care Executive Asian Group of Companies (Pvt) Ltd,Asian Group of Companies (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231120&pg=index.jsp,"The job vacancy is for a Receptionist/Customer Care Executive position. The requirements include being a female candidate below 35 years old, having high telephone etiquette and professionalism, ability to work in a team, proficiency in Sinhala, Tamil, and English, at least one year of experience in a similar position, and the ability to join immediately. The responsibilities include providing customer care, handling reception duties, and working in a team with a pleasant personality and good interpersonal skills.",4
Assistant Accountant/ Accounts ExecutiveSuper Cleaning Services Lanka (Pvt) Ltd,Super Cleaning Services Lanka (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231115&pg=index.jsp,"The job vacancy is for an Assistant Accountant or Accounts Executive with a minimum of 2 years of experience in managing monthly accounts, cash flow, and budgeting. The responsibilities include preparing financial statements, analyzing financial data, and assisting with budget preparation.",5
Accounts ClerkDamro,Damro,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231107&pg=index.jsp,"The job vacancy is for an Accounts Clerk at DAMRO in Sri Lanka. The requirements include a GCF (A1) qualification in commerce subjects, being computer literate, being male, below 76 years of age, and a permanent resident within 25km of the showrooms. The total earnings will not be less than Rs. 40,000 per month. Responsibilities include handling accounts and financial transactions accurately and efficiently.",6
Quality Control Review & Audit Training ManagerBakertilly,Bakertilly,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231088&pg=index.jsp,"We are looking for a Quality Control Review & Audit Training Manager to join our top 10 international accounting firm. The ideal candidate should have strong knowledge of accounting standards, be able to lead individual audits as per regulatory requirements, and possess excellent communication and leadership skills. Responsibilities include developing training programs, evaluating organizational performance, and ensuring training meets the firm's standards. Proficiency in MS Office and organizational skills are required.",7
Account AssistantNovachem Lanka (Pvt) Ltd,Novachem Lanka (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231080&pg=index.jsp,"The job vacancy is for an Account Assistant at a Pharmaceutical Company in Nugegoda. The ideal candidate should be a male between 20-25 years old, have passed GCE A/L in Commerce Stream, have at least 1 year of experience in the finance field, and be familiar with QB Accounting package. Responsibilities include handling documents with the bank, preparing cheque payments, and handling petty cash disbursements. The candidate should be committed and hard-working. An attractive remuneration package will be offered based on qualifications and experience.",8
SecretaryAero Lanka (Pvt) Ltd,Aero Lanka (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231076&pg=index.jsp,"The job vacancy is for a Secretary position, responsible for providing administrative support to the Chairman. Duties include drafting, preparing, and managing correspondence, reports, and documents, communicating notifications with internal and external parties, managing external telephone calls, greeting visitors, and other secretarial activities as assigned. Applicants must have professional qualifications and previous experience in a similar capacity.",9
Assistant General Manager / Zonal Manager / Regional ManagerCeylon Green Life Plantation (Pvt) Ltd,Ceylon Green Life Plantation (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231072&pg=index.jsp,"The company is currently looking to fill multiple positions including Assistant General Manager, Zonal Manager, Regional Manager, Island Branch Manager, and Sales Executive. The job requirements and responsibilities for these roles include managing sales offices, overseeing sales teams, achieving sales targets, developing sales strategies, and ensuring customer satisfaction. Candidates should have experience in sales management, strong communication skills, and the ability to work in a fast-paced environment. Interested candidates can apply by sending their resume to the provided email address.",10
Executive/ Senior Executive - Quality Assurance (Call Center/ Process)ikman (Pvt) Ltd,ikman (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231066&pg=index.jsp,The job vacancy is for an Executive/Senior Executive in Quality Assurance for a Call Center/Process. The responsibilities include ensuring quality and compliance with standards and regulations in the call center or process. The prerequisites for the role include a minimum of 2 years of experience in quality assurance and strong communication skills.,11
Tour Assistant - Guide & Transport Golden coconut Holiday,Golden coconut Holiday,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231062&pg=index.jsp,"The job vacancy offers a salary of Rs. 65,000 per month along with other benefits. The job responsibilities and requirements are not mentioned in the provided text.",12
Investment Analyst (Teoh Capital)Oscar Wylee,Oscar Wylee,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=0000000501&ec=0000000681&jc=0001231055&pg=index.jsp,"The Investment Analyst position at Teah Capital requires a degree in finance or a related field, with at least 4 years of experience in financial analysis. The role involves conducting market research, assessing risk, and managing investment portfolios. The ideal candidate should have strong analytical skills, attention to detail, and the ability to work effectively in a fast-paced environment. Apply now for this exciting opportunity.",13
Accountant PappaRich,PappaRich,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231050&pg=index.jsp,"The job requires a Bachelor's degree in Engineering or related field, with at least 9 years of experience in data analysis. The responsibilities include analyzing data, creating reports, and providing recommendations to improve business performance. Strong analytical and communication skills are essential for this position.",14
Social Media CoordinatorEDYS,EDYS,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231046&pg=index.jsp,"The job vacancy is for a Social Media Coordinator position. The responsibilities include managing social media profiles, creating and strategizing content, and engaging with followers. The requirements include experience with social media platforms, strong communication skills, and creativity. Contact details for the Human Resources department are provided as salesLedyvig@gmail.com.",15
Sales ExecutiveBTL360 Degrees (Pvt) Ltd,BTL360 Degrees (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231041&pg=index.jsp,"The job vacancy is for a Sales Executive position, with responsibilities including indoor and outdoor sales activities, meeting sales targets, and developing and maintaining customer relationships. The ideal candidate should have experience in sales and marketing, strong communication and negotiation skills, and a proven track record of achieving sales targets. Additional responsibilities may include digital marketing activities, managing online platforms, and collaborating with the marketing team to drive business growth.",16
Crew Documentation OfficerManaco Marine (Pvt) Ltd,Manaco Marine (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001231036&pg=index.jsp,"The job vacancy is for a Crew Documentation Officer at Manaco Marine Private Limited. The responsibilities include handling crew documentation, visas, immigration, contracts, and office tasks. The ideal candidate should have strong organizational skills, be proficient in MS Office applications, and have a proactive attitude. Experience in the travel or maritime industry is preferred. Candidates with a background in customer service, sales, or database management are encouraged to apply. Applicants can submit their CV to careers@manaco.lk.",17
